Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,Foreign Exchange Reserves,2009-12-31T00:00:00,5064.03,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-01-29T00:00:00,5279.39,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-01-31T00:00:00,5279.39,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2010-02-28T00:00:00,5254.33,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-03-31T00:00:00,5187.64,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-04-30T00:00:00,5124.41,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-05-31T00:00:00,5034.35,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-06-30T00:00:00,5009.27,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-07-30T00:00:00,5155.39,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-07-31T00:00:00,5155.39,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2010-08-31T00:00:00,5046.07,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-09-30T00:00:00,5140.85,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-10-29T00:00:00,5269.66,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-10-31T00:00:00,5269.66,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2010-11-30T00:00:00,5155.87,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2010-12-31T00:00:00,5122.52,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-01-31T00:00:00,5062.44,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-02-28T00:00:00,5481.38,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-03-31T00:00:00,5454.41,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-04-29T00:00:00,5430,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-04-30T00:00:00,5430,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
Kenya,Foreign Exchange Reserves,2011-05-31T00:00:00,5420.32,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-06-30T00:00:00,5248.75,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-07-29T00:00:00,5442.35,Monthly,KENYAFOREXCRES,2015-01-11T05:10:00
Kenya,Foreign Exchange Reserves,2011-07-31T00:00:00,5442.35,Monthly,KENYAFOREXCRES,2022-09-25T14:13:00
